Issue Date,Applied Date,Permit Type,Property Class,Permit Class,Work Class,Status Current,Total Job Valuation,Housing Units,Number Of Floors,Council District,Original Zip,Latitude,Longitude,Contractor Company Name,Fiscal Year Issued,Calendar Year Issued,Has Valuation
2020-09-30,2020-09-28,Plumbing Permit,Residential,Residential,Irrigation,Final,,,,1,78724.0,30.29312782,-97.63990562,,2020,2020,No
2020-09-30,2020-09-28,Plumbing Permit,Residential,Residential,Irrigation,Final,,,,2,78747.0,30.13586692,-97.76432167,,2020,2020,No
2020-09-30,2020-02-27,Plumbing Permit,Residential,Residential,Irrigation,Final,,,,2,78744.0,30.14848695,-97.7220078,,2020,2020,No
2020-09-30,2020-04-01,Plumbing Permit,Residential,Residential,Irrigation,Final,,,,1,78724.0,30.30709638,-97.62824683,,2020,2020,No
2020-09-29,2020-09-28,Plumbing Permit,Residential,Residential,Irrigation,Final,,,,1,78660.0,30.39348751,-97.61344301,,2020,2020,No
2020-09-29,2020-09-28,Electrical Permit,Commercial,Sign Permit,Wall,Expired,,,,9,78705.0,30.28818522,-97.72513402,,2020,2020,No
2020-09-29,2020-09-28,Plumbing Permit,Residential,Residential,Irrigation,Final,,,,1,78660.0,30.39314564,-97.6131449,,2020,2020,No
2020-09-29,2019-07-01,Plumbing Permit,Residential,Residential,Irrigation,Final,,,,9,78704.0,30.2409857,-97.74244024,,2020,2020,No
2020-09-28,2020-07-29,Mechanical Permit,Residential,R- 101 Single Family Houses,New,Final,,1.0,1.0,1,78653.0,,,Air Temp Solutions,2020,2020,No
2020-09-28,2020-09-15,Plumbing Permit,Residential,Residential,Irrigation,Final,,,,6,78726.0,30.44617152,-97.81634589,,2020,2020,No
2020-09-28,2020-03-04,Plumbing Permit,Residential,Residential,Irrigation,Final,,,,2,78744.0,30.14634006,-97.71923352,,2020,2020,No
2020-09-25,2020-03-11,Plumbing Permit,Residential,Residential,Irrigation,Final,,,,1,78660.0,30.39316874,-97.61384542,,2020,2020,No
2020-09-25,2020-09-24,Plumbing Permit,Residential,Residential,Irrigation,Final,,,,2,78744.0,30.15916371,-97.72497608,,2020,2020,No
2020-09-25,2019-05-10,Plumbing Permit,Residential,Residential,Irrigation,Final,,,,7,78757.0,,,,2020,2020,No
2020-09-25,2020-09-24,Plumbing Permit,Residential,Residential,Irrigation,Final,,,,2,78617.0,,,,2020,2020,No
2020-09-25,2020-08-26,Mechanical Permit,Commercial,Commercial,Change Out,Expired,,,,2,78744.0,,,"Beyer Mechanical & Plumbing, Inc.***Main***",2020,2020,No
2020-09-25,2020-09-23,Plumbing Permit,Residential,Residential,Irrigation,Final,,,,Unknown,78660.0,,,,2020,2020,No
2020-09-25,2020-08-20,Plumbing Permit,Residential,Residential,Irrigation,Final,,,,2,78617.0,30.14811165,-97.5918844,,2020,2020,No
2020-09-25,2020-02-24,Plumbing Permit,Residential,Residential,Irrigation,Final,,,,2,78617.0,30.15550594,-97.63908516,,2020,2020,No
2020-09-25,2020-09-11,Plumbing Permit,Residential,R- 101 Single Family Houses,New,Final,,1.0,1.0,1,78653.0,,,Mustang Plumbing,2020,2020,No
2020-09-24,2019-04-03,Plumbing Permit,Commercial,Commercial,Fireline,Final,,,,5,78704.0,30.2348561,-97.78968835,,2020,2020,No
2020-09-24,2019-09-30,Plumbing Permit,Commercial,Commercial,Fireline,Final,,,,7,78757.0,30.33175709,-97.72314441,"Tri Star Utilities, Inc.",2020,2020,No
2020-09-24,2020-09-23,Electrical Permit,Residential,Residential,Auxiliary Power,Final,,1.0,1.0,Unknown,78660.0,,,"Solstema, Llc",2020,2020,No
2020-09-23,2020-09-18,Plumbing Permit,Residential,Residential,Irrigation,Final,,,,Unknown,78660.0,30.406721,-97.62455015,,2020,2020,No
2020-09-23,2020-09-23,Electrical Permit,Commercial,Sign Permit,Wall,Final,,,,2,78744.0,,,,2020,2020,No
2020-09-23,2020-05-13,Plumbing Permit,Residential,Residential,Irrigation,Final,,,,2,78747.0,,,,2020,2020,No
2020-09-23,2020-09-18,Plumbing Permit,Residential,Residential,Irrigation,Final,,,,Unknown,78660.0,30.40782477,-97.62563292,,2020,2020,No
2020-09-23,2020-09-21,Plumbing Permit,Residential,R- 435 Renovations/Remodel,Repair,Final,,1.0,1.0,3,78702.0,,,Palencia Plumbing Llc,2020,2020,No
